Java HotSpot(TM) 64-Bit Server VM (24.79-b02) for bsd-amd64 JRE (1.7.0_79-b15), built on Apr 10 2015 11:35:04 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(4194304k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=1073741824 -XX:MaxHeapSize=1073741824 -XX:MaxNewSize=524288 -XX:NewSize=524288 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedOops -XX:+UseSerialGC 
0.064: [GC0.064: [DefNew: 384K->64K(448K), 0.0013800 secs] 384K->248K(1048512K), 0.0016360 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.097: [GC0.097: [DefNew: 448K->64K(448K), 0.0012290 secs] 632K->348K(1048512K), 0.0012770 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.107: [GC0.107: [DefNew: 447K->5K(448K), 0.0008320 secs] 732K->353K(1048512K), 0.0008810 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.117: [GC0.117: [DefNew: 389K->9K(448K), 0.0002630 secs] 737K->358K(1048512K), 0.0003060 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.128: [GC0.128: [DefNew: 393K->15K(448K), 0.0001420 secs] 742K->364K(1048512K), 0.0001880 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.138: [GC0.138: [DefNew: 399K->20K(448K), 0.0001390 secs] 748K->368K(1048512K), 0.0001800 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.148: [GC0.148: [DefNew: 404K->24K(448K), 0.0001400 secs] 752K->373K(1048512K), 0.0001840 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.158: [GC0.158: [DefNew: 408K->29K(448K), 0.0001380 secs] 756K->377K(1048512K), 0.0001830 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.168: [GC0.168: [DefNew: 413K->34K(448K), 0.0001770 secs] 761K->382K(1048512K), 0.0002340 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.178: [GC0.178: [DefNew: 418K->34K(448K), 0.0001530 secs] 766K->387K(1048512K), 0.0001970 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.187: [GC0.187: [DefNew: 418K->33K(448K), 0.0001400 secs] 771K->391K(1048512K), 0.0001830 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.197: [GC0.197: [DefNew: 417K->33K(448K), 0.0001890 secs] 775K->396K(1048512K), 0.0002480 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.207: [GC0.207: [DefNew: 417K->33K(448K), 0.0001390 secs] 780K->401K(1048512K), 0.0001800 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.215: [GC0.215: [DefNew: 417K->32K(448K), 0.0001470 secs] 784K->404K(1048512K), 0.0001910 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.225: [GC0.225: [DefNew: 415K->33K(448K), 0.0001900 secs] 787K->410K(1048512K), 0.0002480 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.235: [GC0.235: [DefNew: 417K->32K(448K), 0.0001830 secs] 794K->414K(1048512K), 0.0002380 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.246: [GC0.246: [DefNew: 416K->33K(448K), 0.0001550 secs] 798K->420K(1048512K), 0.0001970 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.256: [GC0.256: [DefNew: 417K->33K(448K), 0.0001610 secs] 804K->424K(1048512K), 0.0002060 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.265: [GC0.265: [DefNew: 417K->32K(448K), 0.0004150 secs] 808K->428K(1048512K), 0.0005630 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.275: [GC0.275: [DefNew: 416K->33K(448K), 0.0002740 secs] 812K->433K(1048512K), 0.0003540 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.285: [GC0.285: [DefNew: 417K->34K(448K), 0.0002020 secs] 817K->438K(1048512K), 0.0002680 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.294: [GC0.294: [DefNew: 418K->32K(448K), 0.0002120 secs] 822K->442K(1048512K), 0.0002700 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.303: [GC0.303: [DefNew: 416K->32K(448K), 0.0001570 secs] 826K->446K(1048512K), 0.0002020 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.313: [GC0.313: [DefNew: 416K->30K(448K), 0.0001830 secs] 830K->450K(1048512K), 0.0002430 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.322: [GC0.322: [DefNew: 414K->34K(448K), 0.0003040 secs] 834K->454K(1048512K), 0.0004090 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.332: [GC0.332: [DefNew: 418K->35K(448K), 0.0001490 secs] 838K->459K(1048512K), 0.0001900 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.340: [GC0.340: [DefNew: 419K->35K(448K), 0.0001510 secs] 843K->463K(1048512K), 0.0001920 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.349: [GC0.349: [DefNew: 419K->34K(448K), 0.0001460 secs] 847K->467K(1048512K), 0.0001860 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.358: [GC0.358: [DefNew: 418K->34K(448K), 0.0001740 secs] 851K->471K(1048512K), 0.0002270 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.367: [GC0.367: [DefNew: 418K->36K(448K), 0.0002260 secs] 855K->477K(1048512K), 0.0002860 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
